Rent Price,Address,Location,Number of Bed,Number of Bath,Living Area (ft^2),Land Area (ft^2)
259 900,"128, rue Cynthia",Ste-Sophie,3,1,1100,47294
535 000,"91, chemin des Sapins",Ste-Thecle,4,2+1,1793,30182
289 900,"156, rue l'Athyrium",Ste-Catherine-de-la-JC,3,2,1868,22000
189 900,"75, chemin du Lac Blanc",St-Donat,3,1+1,1032,4327
379 900,"298, rue de Plaisance",Terrebonne (Terrebonne),3,1+1,1550,8519
415 000,"14628, route Arthur-Sauvé",Mirabel (St-Augustin),3,2,900,84000
350 000,"60, rue Larose",Dunham,2,1,1274,11505
164 500,"1761, rue Powell",Jonquière (Arvida),3,2,1156,3563
300 000,"360, rue Saint-Louis",St-Elie-de-Caxton,3,1+1,2152,133000
539 000,"87, chemin des Tilleuls",Rigaud,3,2,3375,62000
227 000,"40, rue de la Verveine",Breakeyville,2,1+1,736,4822
318 400,"12380, avenue de Troyes",Montchatel,4,2+1,1241,8821
389 900,"445, rue Pierre-Bourdeau",La Prairie,4,1+1,1476,3686
339 900,"81, boulevard Lorrain",Gatineau (Gatineau),5,2,1756,26814
234 900,"441, chemin de Ceinture du Lac",Macamic,4,1+1,1640,3789720
199 900,"168B, rue des Amis",Beauport,2,1+1,544,1875
267 000,"128, rue de Lévis",Granby,3,2,1483,20706
159 000,"2371, rue Principale",Lachute,2,1,1160,25239
384 900,"15, rue de Bourdon",Gatineau (Gatineau),3,2+1,1450,37270
230 000,"272, rue Vimont",Chicoutimi (Chicoutimi-Nord),6,2+1,1590,6000
224 000,"A-2144, rue de Fondville",Limoilou,3,1+1,1500,1485
139 500,"1-11, impasse des Lilas",Gatineau (Hull),3,1,1100,1572
462 000,"723, rue de la Gerboise",Lebourgneuf,3,2+1,1600,5938
289 000,"2240, avenue Desnoyers",St-Hyacinthe,4,1+1,1227,8828
525 000,"1227, rue Dorion",Ville-Marie (Centre-Ville et Vieux Mtl),3,2,1164,450
549 000,"2134, chemin du Fleuve",St-Romuald,6,3,4400,6158
391 000,"65, chemin Saint-André",St-Jean-sur-Richelieu (St-Luc),4,2+1,1404,3800
329 900,"195, rue de Bellefeuille",St-Eustache,6,3,1598,6470
1 750 000,"137, rue Bellerive",Vaudreuil-Dorion,3,13,4879,78438
229 800,"169, rue des Balbuzards",Gatineau (Masson-Angers),3,1+1,1324,2900
299 999,"1302, rue Émelie",Ste-Julienne,2,3,1231,32000
134 000,"I-1180, route Henderson",St-Malachie,2,1+1,1087,32389
374 900,"151, 2e rang",Morin-Heights,3,2+1,1500,74598
539 000,"379, avenue de la Pointe-Jameson",Venise-En-Quebec,3,1+1,1250,13885
265 000,284 rue Saint-François,St-Germain-De-Grantham,5,4+1,1250,8740
399 900,"3320, boulevard Dagenais Ouest",Fabreville,4,4+1,1250,6598
70 000,Nouvelle Phase - Terrain / Lot #62 - Domaine du Pont rouge,La Pêche (Wakefield),4,4+1,1250,43087
190 000,"118, rue du Docteur Fauteux",Shawinigan (Shawinigan-Sud),3,2,1291,15749
479 900,"1035, rue Molière",Repentigny (Repentigny),4,2+1,2183,5489
330 000,"62-62A, avenue Mercier",Rouyn-Noranda,6,2,587,5276
292 000,"413, rue des Artisans",St-Augustin-De-Desmaures,3,1+2,587,3485
375 000,"24, rue du Tournesol",Shefford,5,2+1,2400,43561
242 000,"1146, Place Mauriac",Mascouche,3,1,875,4614
49 900,"7, Place Caza",Dundee,3,1,875,18799
648 000,"3312, rue des Sous-Bois",Sherbrooke (Rock Forest),6,5+1,3100,76192
249 000,"16, rue Daniel",St-Jean-sur-Richelieu (St-Luc),4,1+1,3100,5930
379 000,"290, rue Prince",Repentigny (Repentigny),4,2+1,3100,10000
299 000,"59, rue des Grenats - Développement des pierres - À construire",St-Henri-de-Lévis,3,1+1,1380,8077
251 000,"330, rue Gérard-Gévry",Magog,3,2,1030,5084
262 565,"935, rue Côté",Drummondville (St-Charles-De-Drummond),3,2,1440,10000
245 000,"5050, rue Albani",Sherbrooke (Rock Forest),2,1+1,1332,4816
70 000,"19, chemin du Lac-Légaré",St-Michel-Des-Saints,2,1,1332,40000
149 500,"151, 2e Rang Ouest",St-François-Xavier-De-Brompton,3,1,960,37500
289 900,"8, rue Louis-Dantin",Lévis,4,1+1,960,6714
109 500,"130, chemin des Grandes Côtes",La Minerve,2,1,868,172962
275 000,"100, rue du Golf",St-Côme,3,2+1,1088,17000
280 000,"1078, rue d'Anjou",St-Jean-Chrysostome,4,2,928,4795
829 000,"207, rue de l'Infanterie",Boischatel,5,2+1,2150,7550
253 000,"931, rue de Deauville",St-Jean-Chrysostome,4,2,1008,9130
246 500,"123, rue Pilote",St-Edouard-De-Lotbiniere,5,2,1200,22000
219 900,"634, rue Willy",Granby,2,2,1320,25446
479 000,"1490, boulevard de Boucherville",St-Bruno-De-Montarville,5,2+1,1624,6500
325 000,"264, avenue du Parc",Magog,3,2,2019,8749
524 900,"295, rue Denis",St-François,3,1,2019,8033106
499 000,"5802, avenue Davies",Côte-St-Luc / Hampstead / Montréal-Ouest,3,1+1,832,4000
359 000,"44, rue Carrier",Victoriaville,4,1+1,2200,40700
153 500,"2-77, rue de l'Épée",Gatineau (Gatineau),2,1,1150,2201
255 000,"440, chemin Plante",Sherbrooke (Fleurimont),3,2,1296,9085
399 000,"12, rue François-Hertel",St-Charles-sur-Richelieu,5,2+1,1612,7600
378 000,"3835, rue La Vérendrye",Sherbrooke (Jacques-Cartier),5,3,1650,6867
294 000,"200-206, rue Étienne-Gagnon",Matane,2,1,1136,4949
253 000,"1, rue Landry",St-Norbert-D'Arthabaska,3,1,1092,23450
175 000,"407, avenue Auger",Fortierville,4,2,25528,25556
248 900,"251, chemin de la Pointe-Fine",St-Michel-Des-Saints,2,1+1,1373,40000
44 900,", rue de l'Amitié",Eastman,2,1+1,1373,44401
198 800,"722-720, rue Clovis",Chicoutimi (Chicoutimi-Nord),7,3,1373,5280
399 900,"5280, rue Mailhot",Drummondville (Drummondville),4,2,2035,17647
415 000,"5196, rue des Cageux",Pierrefonds / Roxboro,4,2,1435,6126
775 000,"1118, rue du Botaniste",St-Nicolas,5,2+1,2650,17222
347 000,"305-6725, boulevard Saint-Laurent",Rosemont / La Petite Patrie,1,1,945,7313
143 000,"42, Rue de Broughton-Station",St-Pierre-De-Broughton,5,2,2100,33750
328 900,"89, rue de la Dauphine",St-Colomban,3,2+2,1297,48516
229 000,"421, rue Champlain",St-Jean-De-Matha,3,1+1,1620,22272
217 000,"170, rue Fiset",Rimouski (Rimouski),6,1+2,1550,5000
399 000,"525, montée Cochrane",St-Calixte,3,1+1,1432,230400
450 000,"643, rue Piette",Ste-Marie-Madeleine,3,2,2240,17344
389 000,"557, rue Belliard",Beauport,5,1+1,1680,5592
360 000,"688, Saint-Joseph",Marieville,6,3,1680,10000
249 900,"440, 4e Avenue",Grandes-Piles,2,1+1,1399,6610
360 000,"265, avenue Saint-Alphonse",St-Bruno-Lac-St-Jean,2,1+1,1399,3750
349 900,"6970, rue Monnier",Laval-Ouest,4,2,1216,4806
530 000,"68, avenue Spruce",Shawinigan (Shawinigan),30,18,1216,4000
569 000,"24, rue de la Frayère",Pont-Rouge,3,2+1,2324,9364
269 900,"4177, rue Frenette",Fabreville,2,1+2,1224,2793
210 000,"1700, rang Beaupré",Ste-Ursule,4,1,1658,21000
418 000,"390, rue de l'Anse",St-Marc-sur-Richelieu,1,1+1,1245,8700
549 800,"57, rue Alphonse-Daudet",Gatineau (Aylmer),5,3+1,2240,1177
214 500,"408, rue Dufresne",Joliette,3,1+1,1008,9596
207 000,"8145, boulevard Guillaume-Couture",Lévis,2,1+1,1408,1440
679 000,"5280-5282, rue Monsabre",Mercier / Hochelaga / Maisonneuve,7,1+1,1408,2760
220 000,"3722, rue de l'Indiana",Sherbrooke (Rock Forest),4,2,946,11758
264 000,"64, rue Langevin",St-Isidore-De-Laprairie,3,2,1040,10867
260 000,"1220, avenue des Hostas",Bécancour (Ste-Angèle),3,2,1900,11000
374 900,"1885, rue de Melbourne",Terrebonne (Terrebonne),4,2,1300,5503
233 000,"18, rue Guy-Boisjoli",ND-Des-Prairies,3,2,970,5092
250 000,"1081, rue des Éclaireurs",Trois-Rivières (St-Louis-De-France),5,2,1225,8477
165 000,"112, boulevard Notre-Dame",Pont-Rouge,3,1,1393,7799
175 000,"2485, rue de Francheville",Trois-Rivières (Trois-Rivières),3,1+1,1009,4880
670 000,"340, rue Monseigneur-Gauvreau",Saint-Roch,5,33,1009,4919
135 000,"1081, rue Saint-Alexis",Trois-Rivières (St-Louis-De-France),2,1+1,825,12914
224 000,"1718, rue de l'Orée-des-Champs",Jonquière (Arvida),4,2,879,7500
195 000,"2342, Boulevard Lebourgneuf",Lebourgneuf,2,1,999,2056
224 000,"42, rue Lamartine",Lévis,7,2,816,6188
249 900,"102, chemin Desjardins",Stoke,03,1,1000,61650
450 000,"173, 6e Rang Est",St-Adelme,4,2+1,4600,6135428
577 000,"17055, rue du Grenat",Mirabel (Mirabel en Haut),7,3+1,2907,16400
444 000,"1648, chemin de Clocher",St-Jean-sur-Richelieu (L'Acadie),4,2+2,2336,28497
345 000,"23, place de Grenville Nord",Grenville-sur-la-Rouge,4,1+2,1733,40050
54 000,"112, chemin du Lac Clair",Val-Des-Monts,4,1+2,1733,1
454 900,"6916, chemin des Forts",Lévis,3,1+1,1450,14137
289 000,"6559, rue des Harfangs",Terrebonne (La Plaine),4,2,960,12381
349 000,"719, rue Clairmont",Ste-Foy,4,2,1092,5528
319 000,"117, boulevard de la Marine",Varennes,5,2,1155,6189
325 000,"899, avenue du Cheval-Blanc",Gatineau (Gatineau),5,1+1,1650,9162
425 000,"543, rue Gabrielle-Messier",Mont-St-Hilaire,4,2+1,1401,8485
189 900,"237, rue R.-Rollin",Gatineau (Gatineau),3,1+1,1108,11149
279 200,"541, rue George-Sand",Beauport,5,2,1000,4758
549 000,"1140, rue Sainte-Thérèse",St-Jean-sur-Richelieu (St-Luc),3,2,1697,7998
277 000,"265, rue Cliche",Charlesbourg,3,1+1,1200,3186
325 000,"936, boulevard du Havre",Salaberry-De-Valleyfield,3,1+1,1200,14603
449 000,"75, rue des Prés",Vaudreuil-Sur-Le-Lac,5,1+1,2300,10000
359 900,"599, rue du Mistral",Salaberry-De-Valleyfield,4,2+1,1440,7524
320 000,"80, 17e Avenue",St-Ambroise-De-Kildare,2,2,1337,17000
479 500,"344, rue West Acres",Dollard-Des-Ormeaux,3,1+1,1810,9170
573 000,"190, rue des Franciscains",Montcalm,5,2,2020,2769
299 000,"760, rue Savard",Donnacona,3,1+1,1390,5664
628 000,"56, place d'Avignon",Candiac,6,2+1,2371,6626
264 000,"885, chemin Sainte-Foy",Montcalm,3,1,1475,2990
165 000,"95, rue Maskinonge",St-Gabriel-De-Brandon,3,1+1,1312,11282
349 000,"116, rue du Jardin-des-Tourelles",Rosemère,2,1+1,4105,2052
289 900,"562, rue Willy",Granby,3,2,1385,31619
139 000,"2581, rue de la Garonne",Trois-Rivières (Trois-Rivières-Ouest),2,1+1,1030,2882
292 000,"1010, rue du Saphir",St-Denis-De-Brompton,3,1,1248,60411
489 900,"1168, rue Teasdale",Auteuil,4,2+1,1806,3804
130 000,"4-10, rue Bruyère",Ville-Marie,2,1,890,9984
370 000,"648, rue Marquis",Repentigny (Repentigny),3,2+1,890,7000
379 900,"448, rue du Zircon",Boischatel,3,2+1,1400,10800
249 900,"1075, rue du Comte",Charlesbourg,3,1+1,1135,3332
439 000,"3485, carré de Nevers",Ste-Foy,4,2,1242,6598
399 000,"638, rang des Sloan",St-Edouard-De-Napierville,3,1,1242,56429
284 000,"130, rue de Colombelles",St-Étienne-De-Lauzon,4,1+1,1188,5650
180 000,"1414, rue Esther-Blondin",Cap-Rouge,2,1,1002,1887
375 000,"121, rue Allie",Victoriaville,4,2+1,3000,9000
490 500,"1240, rue Holmes",Longueuil (St-Hubert),4,2,1455,12955
159 500,"606, chemin Hemming",Drummondville (St-Charles-De-Drummond),3,2,768,20371
475 000,"117, rue la Bolduc",Rimouski (Rimouski),4,2+1,1949,8390
338 000,"655, chemin Alverna",Val-Morin,3,2+1,1383,34900
239 000,"3293, chemin de la Rivière",La Baie,2,1+1,1450,33000
219 900,"14650, chemin Saint-Roch",Sorel-Tracy,3,1,1076,10010
449 900,"3766, rue Francois-Foucault",St-Vincent-De-Paul,3,2,1236,9857
354 000,"221, rue du Montagnac",Orford,3,2,1532,16113
924 000,"2575, rue des Équinoxes",Saint-Laurent,4,2+1,2583,2855
263 000,"2, rue des Cygnes",St-Stanislas-De-Kostka,3,1+1,1200,8136
99 900,Chemin River - Lac Devine,L'Ange-Gardien-Outaouais,3,1+1,1200,247856
55 000,Montée 709 A,Montmagny,3,1+1,1200,32291
667 600,"8801, rue des Mouflons",Charlesbourg,4,2+2,2912,10925
338 000,"365, rue de Val-des-Chênes",Ste-Sophie,3,2,1500,37500
209 000,"3838, rue Albert",Rawdon,4,2+1,1273,9010
249 000,"1435, rue Daly",Chambly,4,1+1,2184,8556
240 000,"442, rue des Bois-Francs",Sherbrooke (St-Élie-d'Orford),3,1+1,1060,45750
475 000,"14, rue de l'Anse",St-Jean-sur-Richelieu (St-Luc),4,1+1,1600,34000
565 000,"3880, chemin des Grands-Coteaux",St-Mathieu-De-Beloeil,4,2,2565,35750
579 000,"2650, rue Sainte-Hélène",Longueuil (Vieux-Longueuil),9,3,2565,5407
269 000,"1216, rue du Marais",Ormstown,2,1+1,1070,6095
20 988,rue des Capucines,Bécancour (Ste-Angèle),2,1+1,1070,10000
18 196,rue Clément-Vincent,Bécancour (Ste-Angèle),2,1+1,1070,10000
85 000,"200, rue Principale",St-Cyprien,4,2,1070,6000
399 000,"1005, rue du Domaine-Pauzé",St-Liguori,4,2+1,2000,57200
214 000,"165, rue Lachance",Beaupré,4,2,768,13414
220 000,"42, avenue Alfred-Poulin",Baie-Comeau,5,2,1293,7279
295 000,"177, Route 255 Nord",Dudswell (Marbleton),4,2,1120,2178000
295 000,"178, rue Saint-Pierre",East Angus,2,1,940,2000
182 000,"26, rue Saint-Isidore",St-Charles-Borromée,3,1+1,864,11250
59 900,chemin des Sources,La Pêche (Wakefield),3,1+1,864,130680
217 000,"171, montée de l'Église",St-Colomban,3,1,900,21016
135 000,Lot 28 - Ch. St-Pierre,Val-Des-Monts,2,2,1170,435600
78 000,Lot 13 - 23 Chemin de la Moisson,Val-Des-Monts,2,2,1170,62290
205 000,"70, chemin du Lac-Limony",St-David-de-Falardeau,1,1,1104,42122
875 000,"15, chemin de l'Hirondelle",Eastman,5,2,2258,13500
725 000,3747-3749 route 155,Trois-Rives,4,2,1852,614023
199 999,"810, rue des Bateliers",Trois-Rivières (Trois-Rivières-Ouest),2,1+1,1400,4606
239 900,"76, chemin des Riverains",Austin,2,1+1,1368,14608
192 000,"1445, 77e Rue",St-Georges,5,2+1,2032,21096
246 900,"299, chemin Proulx",Gatineau (Gatineau),3,1+1,1093,21659
253 000,"1141, rue de l'Aulneuse",St-Nicolas,3,1+1,1248,8428
425 000,"1303-120, rue de Candiac",Sherbrooke (Jacques-Cartier),2,1+1,1702,73872
518 000,"1052, rue Mario-Mauro",Lévis,4,2+2,8094,8000
406 000,"6340, rue d'Aragon",Laval-Ouest,4,1+1,2063,13845
259 000,"37, chemin de la Chantrerie",Stoneham,3,2,2063,30000
545 000,"944, boulevard Malcolm Fraser",La Malbaie (Cap-À-L'Aigle),4,4+2,2858,69021
389 000,"C-176, chemin du Lac-Thorne",Shawville,2,2,2700,34864
89 000,"98, route Saint-Hyacinthe",Chartierville,2,2,2700,87120
349 000,"106, rue de l'Artisan",St-Colomban,4,2,1276,48600
269 900,"1533, rue Étienne",Val-Bélair,4,2+1,1280,2700
310 000,"122, rue de l'Estran",Boischatel,2,1+1,1200,7966
279 900,"10, rue Ronald-Perreault",ND-Des-Prairies,4,2+1,1250,5198
320 000,"66, boulevard Killoran",Drummondville (Drummondville),4,2,1882,13421
125 000,"9, rue Langelier",Ste-Anne-Des-Monts,4,1+1,1016,10474
345 000,"117, rue Couture",Victoriaville,3,2,1820,10000
334 900,"10035, rue Laurier",Mirabel (St-Canut),4,2,1350,9180
274 900,"53, rue Henry-Caldwell",Granby,3,1+1,1374,6788
105 000,"148, rue Principale",Courcelles,3,2,1140,7125
274 000,"18, rue Jean",St-Chrysostome,3,2,1134,7284
168 000,"6441-3, chemin du Portage-des-Roches Nord",Chicoutimi (Laterrière),2,1,792,16137
213 500,"513, rue des Bois-Francs",Tadoussac,4,2,1010,16520
285 000,"139, rue Moreau",St-Apollinaire,4,2,959,5274
439 000,"21, rue de la Montagne",Morin-Heights,4,3+1,2902,46762
307 000,"1855-1849, rue de la Bastille",Limoilou,3,2,2902,3109
309 900,"101, chemin Roy",Westbury,3,1+1,1144,42000
189 900,"790, rue Félix-Leclerc",Pintendre,3,2+1,1071,9265
109 500,"1086, avenue du Rocher",Normandin,1,1+1,1071,4700
415 000,"268, rue des Onyx",Boischatel,3,1+1,1542,8435
149 900,"1-9, rue Beausoleil",Pont-Rouge,2,1,1150,15661
175 000,"2504, rue Leclerc",Ste-Perpétue,4,2,956,8800
189 000,"6, rue des Pins",Pont-Rouge,3,2,956,9831
19 139,rue des Géraniums,Bécancour (Ste-Angèle),3,2,956,10000
650 000,"1595, RUE MARIA-CHAPDELAINE",Duvernay,4,2+1,2000,5701
320 000,"5022, rue Nantel",Longueuil (St-Hubert),4,2,1224,8000
273 000,"58, rue Monseigneur-Bourget",Lévis,3,2,1092,14903
93 000,"235, rue Saint-Jean-Baptiste",Asbestos,4,1,633,5000
253 000,"3, rue Bernadette",St-Ignace-De-Loyola,3,2+1,1300,47071
425 000,"1670, rue Castner",Jonquière (Arvida),6,2+2,1300,14834
680 000,"3635, chemin Saint-Louis",Ste-Foy,4,2+1,2630,18075
155 000,"6001, rue Principale",St-Zénon,3,2,1200,14477
249 900,"1813, rue Elzéar-Villeneuve",St-Émile,2,1+1,1100,2012
145 000,"X, chemin du Sommet",Fossambault-Sur-Le-Lac,2,1+1,1100,335682
433 000,"5055, place Nerina Lafrance",Pierrefonds / Roxboro,5,2+1,2020,6000
57 900,"1015, rue du Saphir",St-Denis-De-Brompton,5,2+1,2020,65461
324 900,"55, chemin du Relais",Baie-St-Paul,5,2,1232,13000
129 900,"141, rue Pelletier",St-Raymond,2,1,840,18000
545 000,"664, place Fleury",Ahuntsic / Cartierville,3,1,840,3200
675 000,"380, 3e Chemin du Lac-Clair",St-David-de-Falardeau,5,2,2650,60000
475 000,"A-B-401, rue Saint-André",Pont-Viau,5,3,2650,3581
439 900,"124, rue de Maricourt",Chateauguay,4,2+1,1700,7107
218 900,"274, 8e Avenue",Deux-Montagnes,3,2,1108,5182
595 000,"4-6-8-10, rue Pierre-Guignard",Lanoraie,2,1,1108,11000
99 500,"799, Tour du lac David Nord",Chute-St-Philippe,2,1,1108,43800
259 000,"14, rue Pauline",Coteau-Station,4,2,1920,7996
249 000,"15, rue Martel",St-Claude,3,2,816,41944
398 000,"2700, chemin du Lac Brulé",Chertsey,3,2,2160,31000
419 900,"10, rue de Cassis",Gatineau (Gatineau),4,2+1,2176,10334
297 000,"436, 26e Avenue",Deux-Montagnes,3,2,962,5280
319 000,"61, rue Gibeault",Pointe-Aux-Trembles / Montréal-Est,4,1,840,4950
199 000,"540, chemin du Lac-Bell",St-Elie-de-Caxton,2,1+1,1280,34907
399 000,"94, chemin des Érables Est",Cap-St-Ignace,4,1+1,1826,53819
298 000,"214, rue des Trembles",Dolbeau-Mistassini,3,1+1,1300,57565
391 500,"42, rue Lionel-Bélanger",Beauport,4,1+1,1642,5800
249 000,"103, chemin Hodge",Sawyerville,3,2+1,2056,53819
295 000,"1075, rue de l'Ontario",Sherbrooke (Jacques-Cartier),3,3,2056,7050
429 000,"1822, rue Sun Valley",Chomedey,3,1+1,1092,8100
244 900,"220, rue Croteau",Repentigny (Le Gardeur),2,1+1,1340,4124
425 000,"344, rue Daudelin",Farnham,3,2+1,1340,12101
318 900,"5, rue du Sirocco",Ste-Catherine-de-la-JC,4,1+1,1655,5360
169 000,"2045, rue du Curé-Marcotte",Lac-St-Charles,3,1,840,5995
178 500,"701, rue Louis-de-France",Trois-Rivières (St-Louis-De-France),2,1+1,1120,9999
449 000,"22-90, chemin des Alpages",Stoneham,3,2+1,1469,1895
224 900,"1005, rue Gervais",Joliette,5,2,1296,6638
209 000,"1328, rue Mainville",Victoriaville,4,2+1,1381,6300
338 000,"4729, rue Viau",Sherbrooke (Rock Forest),5,1+1,1847,9555
289 500,"1612, rue de Courtrai",L'Ancienne-Lorette,3,2,960,5400
495 000,"378, rue des Camelias",Ste-Therese,3,2+1,1696,7962
189 000,"1169, avenue Moffet",St-Agapit,3,2+1,833,4162
249 000,"275, 20e avenue Nord",Sherbrooke (Fleurimont),3,1+1,1350,7500
167 400,"156, rue Principale",St-Guillaume,3,1,1350,862
162 000,"184, rue Principale",St-Guillaume,3,1,1350,770
320 000,"4494, rue de la Promenade",St-Antoine-De-Tilly,2,1+1,1291,12173
342 000,"805, RUE MARIE-LOUISE-LEMELIN",St-Nicolas,4,1+1,1464,6460
329 000,"39, rue Bolduc",St-Hippolyte,4,3,1250,32470
272 900,"2060, rue de la Prairie",Drummondville (Drummondville),4,1+2,1141,7915
79 900,"Unité 1-1762, boulevard Maloney Est",Gatineau (Gatineau),2,1,674,5000
370 000,908-910 avenue du Castel,St-Joseph-De-Beauce,2,1,674,10600
167 000,"1121, chemin de Tupperville",Bury,2,1+1,1298,68166
194 999,"5670, route 138 Ouest",Havre-St-Pierre,2,1,1222,19357
589 000,"1983-1985, rue Marcel",St-Jérôme (Bellefeuille),6,3+1,3366,24219
429 900,7463-7465 avenue des Platanes,Charlesbourg,4,2+1,1440,11237
299 000,"8300, rue Marius-Barbeau",St-François,3,2,978,6156
265 000,"B-106, Rue Mercier",Beauport,3,2+1,1368,4500
324 500,"1725, rue des Archanges",Chicoutimi (Chicoutimi),5,2,1368,7637
226 500,"3890, rue Lucien-Bédard",Sherbrooke (Rock Forest),3,1+1,1440,5844
394 500,"134, rue Gabriel-Christie",Repentigny (Le Gardeur),5,2,1212,9049
345 000,"189, chemin du Mont-Maribou",St-Sauveur,3,2+1,1456,44452
286 000,"790-792, rue Lajeunesse",Sherbrooke (Fleurimont),4,2,1456,6561
171 900,"1375, chemin du Jamboree",St-Adolphe-D'Howard,5,1+1,2304,10033
269 000,"3420, rue des Épinettes",Ste-Marie-Madeleine,5,1+2,1787,6076
415 000,"12920, rue de Brouage",Mirabel (St-Janvier),3,1+2,2029,5704
239 000,"49, rue Normand",Morin-Heights,3,2,2029,21285
210 500,"515, chemin de Montréal Est",Gatineau (Masson-Angers),3,2,2029,42210
245 000,"3859, rue de l'Indiana",Sherbrooke (Rock Forest),4,1+1,917,5022
649 000,"16-18, carré de Beaujeu",Lacolle,5,4+2,917,30693
209 500,"302-27, rue Bigaouette",Saint-Sauveur,1,1,794,7303
193 000,"12, rue Martin",St-Charles-De-Bellechasse,4,1,1000,8700
364 900,"63, rue Saint-Paul",Ste-Rose,3,1+1,1152,3159
369 000,"6, Grande Côte Est",Lanoraie,4,2,1628,16700
190 000,"1-516, rue J.-A.-Nadeau",Granby,3,2,1100,5000
209 000,"3390, chemin du Canal",St-Félicien,3,1,976,7856
559 000,"383, rue du Colibri",Rosemère,4,2+1,2700,11282
194 500,"29, rue du Gregou",Ste-Catherine-de-la-JC,2,1+1,560,3200
432 000,"1111, chemin Saint-Jacques",Crabtree,2,1,1740,128840
779 000,"310, montée du Pré-Vert",Beloeil,7,4,2700,36400
570 000,"4465, avenue Dozois",Longueuil (St-Hubert),9,3+2,2509,6200
60 000,"31, rue Principale",Bouchette,2,2+1,2509,4999
498 000,"82, boulevard Montcalm Sud",Candiac,3,2+1,1978,8205
125 900,"13-7399, boulevard Sainte-Anne",Château-Richer,2,1,715,4800
189 000,"240, rue Simard",St-Ferréol-les-Neiges,2,1,715,10994
225 000,"3175, chemin des Lacs",St-Faustin-Lac-Carré,2,1+1,1086,43593
497 500,"26, rue de Coulonge",Blainville,4,1+1,1560,12356
365 000,"550, rue Connaught",Otterburn Park,3,1+2,1976,15781
155 000,"167, rue Cyprien",Chicoutimi (Chicoutimi-Nord),3,1,1976,4042
349 900,"5804, rue des Grandes-Prairies",Valcourt,3,2+1,1796,97000
269 000,"84, rue Tremblay",Pierreville,3,2,1500,10000
150 000,"3471103, Rang 9",Weedon,3,2,1500,4509195
795 000,"300, chemin du Lac-Duhamel",Mont-Tremblant,4,3,3250,22428
292 000,"113-3537, chemin Saint-Louis",Ste-Foy,2,2,1124,607
398 900,"16, rue Faucher",Val-Des-Monts (Perkins),3,2+1,1780,43848
419 000,"1200, rue du Vieux Moulin",Ste-Marie,3,2,2300,46918
273 200,"89, rue des Leclerc",Rimouski (Le Bic),4,2,1226,9154
545 000,"585, rue du Gerbier",Lebourgneuf,4,2,2300,6300
168 900,"1420, rue Notre-Dame",St-Cesaire,3,1+1,1292,7971
307 000,"1487, rue Lapointe",Val-D'Or,3,1+1,1050,7344
610 000,"9805, avenue du Patrimoine-Mondial",Neufchatel,4,1+2,2036,8080
350 000,"825, chemin du Tour-Du-Lac-David Nord",Chute-St-Philippe,4,3,2740,41512
274 900,"1792, rue de l'Alliance",St-Émile,3,2+1,900,6300
264 900,"2131, rue des Bouvreuils",Charlesbourg,3,1,1201,7008
319 000,"208-4974, rue Lionel Groulx",St-Augustin-De-Desmaures,2,1+1,1716,2080
205 000,"330, rue Ernest",L'Avenir,2,1,1170,37738
279 000,"4-20, rue Long",Granby,3,2+1,3406,23034
240 000,"61, chemin Napoleon",Chertsey,4,1+2,1612,36000
262 000,4114-4116 chemin de l'Église,Chicoutimi (Laterrière),7,3,1925,16000
389 000,"120, rue de Lourtel",St-Jean-sur-Richelieu (St-Luc),5,1+1,1760,5166
239 000,"124, rue des Saguenéens",Chicoutimi (Chicoutimi),3,2,1059,6000
362 000,"11, rue du Charron",Lévis,4,1+1,1764,9486
885 000,"1049, chemin du Lac-Connelly",St-Hippolyte,4,2+1,2488,50070
299 000,"2544, rue Isaac-Jogues",St-Jérôme (Lafontaine),5,2,1188,7971
274 500,"268, rue des Roses",Victoriaville,3,2,958,6400
439 000,"1755, boulevard de Boucherville",St-Bruno-De-Montarville,4,1+1,1747,10250
320 000,"84, cercle Grenier",Grenville,6,1+1,1918,17524
269 999,"15177, rue Notre-Dame Est",Pointe-Aux-Trembles / Montréal-Est,4,2+1,1190,3312
334 500,"148, rue du Versant",St-Colomban,2,1+1,1360,46284
419 000,"1153, rue Saint-André",Acton Vale,7,1+1,1360,7100
260 000,"302-7627, rue André-Arnoux",Rivière des Prairies,2,1+1,1095,5992
535 000,"1885, rue Anne-Julien",Carignan,5,2,1946,13325
399 700,"27, chemin Lavigne",Luskville,3,2+1,1675,40561
279 900,"317, rue Migneault",Longueuil (Vieux-Longueuil),3,1+1,1040,1506
279 900,"1037, rue du Vicomte",St-Jérôme (Bellefeuille),3,2+1,1440,11684
446 000,"1153, rue des Turquoises",Charlesbourg,4,2+1,1953,5253
285 000,"1130, rue Provençal",St-Cesaire,3,1+1,2200,11076
289 900,"597, rue Louis-Cousineau",Gatineau (Aylmer),5,2,1703,6500
300 000,"30, rue Gabriel",St-Denis-De-Brompton,4,2,1340,16000
159 000,"59, 400e Avenue",St-Hippolyte,2,1,940,11045
234 900,"1055, avenue Graziella-Dumaine",Shawinigan (Shawinigan-Sud),4,2,1419,7777
219 000,"3560, chemin de Sainte-Flore",Shawinigan (Grand-Mère),4,2,2750,9224
310 000,"430, rue de Montpellier",Alma,3,2,1224,8000
537 000,"334, rue Saint-Germain E",Rimouski (Rimouski),7,4+1,1224,7307
